Reference Designators;Quantity;Description;Package;Value;Manufacturer;Manufacturer Part Number;Vendor;Vendor Part Number;Top/Bottom;
;1;Board;Board;;;;;;;
C1, C3, C4;3;Capacitor - Generic;CAPC1005X60;4.7u;;;;;Top;
C2;1;Capacitor - Generic;CAPC1005X60;1u;;;;;Top;
JP1-ESP32_CON;1;Pin Header;1X06/90;PINHD-1X6/90;;;;;Top;
LED1, LED2, LED3, LED4;4;White LED;NF2W757GF1;NF2W757G-F1;;;;;Top;
Q1, Q2;2;N-Channel MOSFET - Generic;SOT23;NMOSFET;;;;;Top;
R1, R2, R3, R4;4;Resistor Fixed - Generic;RESC1005X40;25;;;;;Top;
R5;1;Resistor Fixed - Generic;RESC1005X40;22;;;;;Top;
R6, R7, R8, R9;4;Resistor Fixed - Generic;RESC1005X40;2k2;;;;;Top;
R10, R11;2;Resistor Fixed - Generic;RESC1005X40;10k;;;;;Top;
U1;1;Optical Sensor Ambient 380nm ~ 1000nm I2C, Open Drain 8-TFLGA;TCS34488OLGA8;TCS34488_OLGA8;;;;;Top;
U7;1;;SOT-25_TOR;XC6220B181MR-GSOT-25_TOR;;;;;Top;
